Date,KS confirmed,KY confirmed,KS deaths,KY deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,1,0,0,0
2020-03-09,1,3,0,0
2020-03-10,1,4,0,0
2020-03-11,1,6,0,0
2020-03-12,5,10,1,0
2020-03-13,6,13,1,0
2020-03-14,6,15,1,0
2020-03-15,8,21,1,1
2020-03-16,13,22,1,1
2020-03-17,16,26,1,1
2020-03-18,21,33,1,1
2020-03-19,34,46,1,2
2020-03-20,44,53,1,2
2020-03-21,54,53,2,3
2020-03-22,63,66,2,3
2020-03-23,78,121,2,4
2020-03-24,92,153,2,4
2020-03-25,125,192,3,5
2020-03-26,170,242,3,5
2020-03-27,204,296,4,9
2020-03-28,264,355,5,10
2020-03-29,321,387,5,10
2020-03-30,369,428,9,11
2020-03-31,428,527,10,18
2020-04-01,482,623,10,20
2020-04-02,550,714,13,31
2020-04-03,620,775,16,37
2020-04-04,698,871,21,40
2020-04-05,747,970,22,45
2020-04-06,845,1081,25,59
2020-04-07,899,1140,30,62
2020-04-08,1043,1335,38,66
2020-04-09,1104,1506,42,79
2020-04-10,1162,1691,48,90
2020-04-11,1262,1840,55,94
2020-04-12,1333,1950,56,96
2020-04-13,1374,2035,62,105
2020-04-14,1424,2191,69,115
2020-04-15,1492,2278,77,121
2020-04-16,1586,2404,81,129
2020-04-17,1702,2511,85,137
2020-04-18,1788,2679,87,144
2020-04-19,1847,2942,94,148
2020-04-20,1984,3027,102,154
2020-04-21,2024,3177,102,171
2020-04-22,2210,3353,112,185
2020-04-23,2481,3467,114,191
2020-04-24,2773,3753,114,200
2020-04-25,3055,3882,120,205
2020-04-26,3173,4054,122,208
2020-04-27,3327,4133,126,213
2020-04-28,3490,4360,128,225
2020-04-29,3734,4523,134,235
2020-04-30,4235,4695,135,240
2020-05-01,4446,4864,141,248
2020-05-02,4745,4864,142,248
2020-05-03,5029,5112,145,253
2020-05-04,5244,5236,156,261
2020-05-05,5456,5808,161,275
2020-05-06,5734,5927,164,283
2020-05-07,6144,6120,164,294
2020-05-08,6498,6285,168,298
2020-05-09,6748,6436,173,304
2020-05-10,6979,6436,173,304
2020-05-11,7113,6672,179,311
2020-05-12,7302,6849,184,321
2020-05-13,7492,7065,185,326
2020-05-14,7702,7212,189,328
2020-05-15,7907,7433,192,332
2020-05-16,7990,7672,194,334
2020-05-17,8041,7672,194,334
2020-05-18,8394,7915,195,346
2020-05-19,8414,8047,196,366
2020-05-20,8619,8162,201,376
2020-05-21,8678,8284,203,386
2020-05-22,9035,8421,203,391
2020-05-23,9048,8567,204,391
2020-05-24,9052,8567,204,391
2020-05-25,9077,8567,207,391
2020-05-26,9280,8948,209,394
2020-05-27,9398,9073,210,400
2020-05-28,9435,9178,213,409
2020-05-29,9763,9456,213,418
2020-05-30,9763,9693,213,431
2020-05-31,9763,9693,213,431
2020-06-01,10052,10031,214,439
2020-06-02,10071,10169,220,442
2020-06-03,10224,10405,224,450
2020-06-04,10224,10701,224,457
2020-06-05,10431,10972,232,465
2020-06-06,10431,11276,232,469
2020-06-07,10465,11276,232,469
2020-06-08,10680,11463,236,471
2020-06-09,10680,11697,236,477
2020-06-10,10846,11872,240,483
2020-06-11,10846,11934,240,493
2020-06-12,11081,12162,243,497
2020-06-13,11081,12438,243,498
2020-06-14,11081,12438,243,498
2020-06-15,11448,12639,246,504
2020-06-16,11448,12818,246,510
2020-06-17,11717,12986,247,517
2020-06-18,11717,13192,247,519
2020-06-19,12103,13448,254,522
2020-06-20,12161,13625,262,524
2020-06-21,12197,13743,262,526
2020-06-22,12514,13832,262,526
2020-06-23,12547,14140,262,537
2020-06-24,13029,14362,262,538
2020-06-25,13108,14616,263,546
2020-06-26,13610,14857,265,553
2020-06-27,13646,15167,268,554
2020-06-28,13840,15232,269,558
2020-06-29,14497,15347,271,560
2020-06-30,14530,15624,273,565
2020-07-01,15063,15842,275,572
2020-07-02,15063,16079,275,581
2020-07-03,15063,16376,275,585
2020-07-04,15063,16376,275,585
2020-07-05,15063,16376,275,585
2020-07-06,16970,17152,282,593
2020-07-07,16977,17519,283,602
2020-07-08,17698,17919,283,608
2020-07-09,17805,18245,288,612
2020-07-10,18684,18670,288,620
2020-07-11,18774,19121,288,622
2020-07-12,19029,19389,294,625
2020-07-13,20168,19653,298,629
2020-07-14,20186,20223,298,635
2020-07-15,21059,20677,302,645
2020-07-16,21074,21083,302,650
2020-07-17,21965,21605,305,658
2020-07-18,22148,22184,305,667
2020-07-19,22290,23161,309,670
2020-07-20,23426,23414,313,671
2020-07-21,23572,24060,316,674
2020-07-22,24238,24540,318,677
2020-07-23,24238,25147,318,684
2020-07-24,25274,25931,323,691
2020-07-25,25278,26764,324,696
2020-07-26,25515,27079,330,700
2020-07-27,26324,27601,335,709
2020-07-28,26350,28126,341,719
2020-07-29,27061,28727,349,724
2020-07-30,27104,29386,354,731
2020-07-31,27984,30151,359,735
2020-08-01,28022,30723,358,740
2020-08-02,28204,31185,361,742
2020-08-03,29046,31508,366,744
2020-08-04,29088,32197,366,751
2020-08-05,29884,32741,368,752
2020-08-06,29972,33254,375,760
2020-08-07,30830,33796,380,764
2020-08-08,30867,34578,380,772
2020-08-09,30927,34982,380,773
2020-08-10,31923,35254,387,775
2020-08-11,32012,35793,388,783
2020-08-12,32754,36945,395,790
2020-08-13,32813,37686,403,796
2020-08-14,34059,38298,403,804
2020-08-15,34097,38930,407,810
2020-08-16,34206,39315,407,813
2020-08-17,35365,39691,406,818
2020-08-18,35436,40299,411,830
2020-08-19,36168,40926,414,842
2020-08-20,36253,41626,422,856
2020-08-21,37154,42265,425,864
2020-08-22,37323,43066,430,872
2020-08-23,37448,43066,431,872
2020-08-24,38732,43899,432,885
2020-08-25,38850,44568,433,895
2020-08-26,40259,45230,444,902
2020-08-27,40529,45978,445,910
2020-08-28,41593,46757,446,918
2020-08-29,41721,47577,448,921
2020-08-30,41808,47577,449,921
2020-08-31,43103,48396,450,933
2020-09-01,43243,49185,453,948
2020-09-02,44325,49991,458,966
2020-09-03,44379,50885,466,976
2020-09-04,45850,51677,481,987
2020-09-05,45850,52464,481,993
2020-09-06,45931,52774,483,996
2020-09-07,47295,53064,485,996
2020-09-08,47629,53319,486,997
2020-09-09,48130,53977,493,1013
2020-09-10,48174,54772,495,1035
2020-09-11,49100,55704,513,1044
2020-09-12,49141,56415,522,1057
2020-09-13,49141,56945,522,1060
2020-09-14,50605,57282,534,1065
2020-09-15,50605,58000,534,1074
2020-09-16,51720,58764,586,1082
2020-09-17,51720,59370,586,1093
2020-09-18,52684,60128,598,1101
2020-09-19,52684,61106,598,1108
2020-09-20,52684,61542,598,1111
2020-09-21,54681,61917,600,1112
2020-09-22,54759,62731,607,1119
2020-09-23,55971,63515,621,1124
2020-09-24,56137,64158,631,1137
2020-09-25,57523,65066,632,1149
2020-09-26,57688,66036,632,1154
2020-09-27,57688,66491,632,1157
2020-09-28,59540,66939,638,1162
2020-09-29,59605,67856,646,1170
2020-09-30,60648,68840,678,1174
2020-10-01,60809,69725,681,1190
2020-10-02,62019,70727,698,1197
2020-10-03,62163,72001,698,1205
2020-10-04,62165,72617,698,1209
2020-10-05,63594,73158,706,1214
2020-10-06,63837,74194,709,1218
2020-10-07,64977,76587,723,1223
2020-10-08,65102,77455,733,1234
2020-10-09,66870,78456,763,1242
2020-10-10,66870,79445,763,1249
2020-10-11,66967,80292,766,1252
2020-10-12,68934,80930,771,1255
2020-10-13,69121,81691,788,1269
2020-10-14,70363,83013,838,1276
2020-10-15,70520,84195,838,1296
2020-10-16,72146,85506,859,1300
2020-10-17,72218,86797,859,1312
2020-10-18,72358,87607,859,1318
2020-10-19,74369,88247,872,1326
2020-10-20,74585,89544,890,1342
2020-10-21,75996,90996,952,1363
2020-10-22,76290,92299,952,1380
2020-10-23,77878,93748,975,1396
2020-10-24,77960,95480,975,1404
2020-10-25,78173,96942,975,1407
2020-10-26,80365,97864,975,1409
2020-10-27,80641,99634,982,1427
2020-10-28,83433,101493,1007,1441
2020-10-29,83789,103302,1007,1459
2020-10-30,86737,105239,1029,1474
2020-10-31,86774,107214,1029,1483
2020-11-01,86774,108636,1029,1487
2020-11-02,90589,109663,1045,1490
2020-11-03,90904,111374,1056,1501
2020-11-04,93653,113003,1087,1512
2020-11-05,94378,115270,1087,1532
2020-11-06,99223,117475,1166,1542
2020-11-07,99295,119542,1166,1559
2020-11-08,99384,120678,1166,1563
2020-11-09,105081,122562,1181,1576
2020-11-10,105637,124646,1181,1590
2020-11-11,110778,127343,1215,1604
2020-11-12,111357,129679,1215,1622
2020-11-13,117331,132844,1254,1645
2020-11-14,117519,136135,1254,1657
2020-11-15,117519,137584,1254,1661
2020-11-16,124812,139097,1266,1664
2020-11-17,125342,142008,1265,1697
2020-11-18,130668,144753,1326,1712
2020-11-19,131069,148387,1326,1739
2020-11-20,136631,152206,1410,1762
2020-11-21,136895,155904,1410,1782
2020-11-22,136969,158100,1409,1787
2020-11-23,143999,160232,1454,1791
2020-11-24,144939,162837,1454,1808
2020-11-25,150080,166139,1503,1835
2020-11-26,150078,166139,1503,1835
2020-11-27,154677,171746,1529,1870
2020-11-28,155162,174181,1529,1884
2020-11-29,155162,176915,1529,1895
2020-11-30,159904,179041,1560,1907
2020-12-01,160293,183164,1560,1943
2020-12-02,164902,186764,1679,1943
2020-12-03,165287,190601,1679,2014
2020-12-04,171375,194185,1786,2038
2020-12-05,171375,198064,1786,2062
2020-12-06,171461,200630,1786,2071
2020-12-07,176725,202592,1856,2081
2020-12-08,177182,205668,1856,2101
2020-12-09,182853,209136,1941,2118
2020-12-10,183125,213450,1941,2145
2020-12-11,188354,217119,2072,2168
2020-12-12,188399,220656,2072,2192
2020-12-13,188413,223047,2072,2207
2020-12-14,193068,224825,2109,2223
2020-12-15,193353,227765,2109,2237
2020-12-16,197734,230574,2253,2261
2020-12-17,197927,234021,2253,2316
2020-12-18,203415,237185,2341,2343
2020-12-19,203421,240561,2341,2371
2020-12-20,203443,242315,2341,2396
2020-12-21,203443,244260,2341,2410
2020-12-22,203443,247293,2341,2439
2020-12-23,203443,250280,2341,2466
2020-12-24,203443,250280,2341,2466
2020-12-25,203443,250280,2341,2466
2020-12-26,203443,255540,2341,2534
2020-12-27,203443,257062,2341,2555
2020-12-28,218875,258516,2548,2563
2020-12-29,218995,261492,2548,2594
2020-12-30,225274,265262,2741,2622
2020-12-31,225353,265262,2740,2622
2021-01-01,230179,265262,2878,2622
2021-01-02,230179,273971,2878,2698
2021-01-03,230184,276824,2878,2719
2021-01-04,234160,279143,2897,2746
2021-01-05,234289,280836,2897,2769
2021-01-06,239745,286541,3027,2805
2021-01-07,239859,291430,3027,2842
2021-01-08,245167,296167,3148,2856
2021-01-09,245201,300397,3148,2876
2021-01-10,245190,303620,3148,2901
2021-01-11,250346,305685,3255,2922
2021-01-12,250476,308662,3255,2944
2021-01-13,250476,313271,3355,2988
2021-01-14,255008,317335,3355,3041
2021-01-15,258934,321249,3502,3059
2021-01-16,258955,324324,3502,3092
2021-01-17,259008,326673,3502,3125
2021-01-18,262325,328656,3525,3166
2021-01-19,262477,330902,3525,3193
2021-01-20,266079,334319,3575,3242
2021-01-21,266307,338021,3575,3299
2021-01-22,269530,340779,3598,3334
2021-01-23,269558,344055,3598,3386
2021-01-24,269558,346490,3598,3421
2021-01-25,272101,347831,3622,3460
2021-01-26,272225,350497,3622,3495
2021-01-27,275190,352900,3718,3542
2021-01-28,275408,355864,3718,3611
2021-01-29,277479,358473,3779,3668
2021-01-30,277495,361124,3779,3714
2021-01-31,277495,362890,3779,3745
2021-02-01,279476,364507,3779,3780
2021-02-02,279623,366938,3809,3812
2021-02-03,279623,369519,3809,3863
2021-02-04,281809,372012,3895,3921
2021-02-05,284258,374268,4101,3971
2021-02-06,284280,376262,4101,4020
2021-02-07,284280,377791,4101,4051
2021-02-08,285810,378795,4197,4091
2021-02-09,285862,381121,4197,4126
2021-02-10,287731,383034,4303,4175
2021-02-11,287818,384905,4303,4211
2021-02-12,289067,386340,4364,4253
2021-02-13,289067,387100,4364,4272
2021-02-14,289067,388808,4364,4282
2021-02-15,290350,389533,4406,4291
2021-02-16,290381,390767,4406,4318
2021-02-17,291669,391779,4521,4336
2021-02-18,291758,392751,4521,4373
2021-02-19,293692,394694,4630,4401
2021-02-20,293692,396027,4630,4426
2021-02-21,293692,397004,4630,4447
2021-02-22,294484,397535,4661,4460
2021-02-23,294484,399023,4661,4476
2021-02-24,295536,400314,4739,4527
2021-02-25,295536,401571,4739,4570
2021-02-26,296286,402735,4752,4600
2021-02-27,296286,403783,4752,4625
2021-02-28,296286,404448,4752,4637
2021-03-01,296874,404959,4760,4652
2021-03-02,296874,406032,4760,4671
2021-03-03,297620,407366,4832,4704
2021-03-04,297620,408465,4832,4732
2021-03-05,298315,409392,4846,4754
2021-03-06,298315,410232,4846,4806
2021-03-07,298315,410757,4846,4819
2021-03-08,298845,411087,4847,4829
2021-03-09,298845,411964,4847,4850
2021-03-10,299545,412977,4875,4884
2021-03-11,299545,414180,4875,4921
2021-03-12,299983,415137,4898,4950
2021-03-13,299983,415835,4898,4966
2021-03-14,299983,416324,4898,4982
2021-03-15,300376,416759,4902,5005
2021-03-16,300376,417557,4902,5029
2021-03-17,300973,418512,4903,5056
2021-03-18,300973,419292,4903,5504
2021-03-19,301395,420000,4913,5695
2021-03-20,301395,420655,4913,5720
2021-03-21,301395,420968,4913,5738
2021-03-22,301395,421261,4913,5799
2021-03-23,301395,422144,4913,5814
2021-03-24,301395,422825,4913,5863
2021-03-25,301395,423549,4913,5970
2021-03-26,301434,424183,4892,6009
2021-03-27,301434,424183,4892,6010
2021-03-28,301434,425313,4892,6033
2021-03-29,301434,425544,4892,6044
2021-03-30,301434,426243,4892,6066
2021-03-31,302384,427015,4914,6091
2021-04-01,302384,427984,4914,6109
2021-04-02,302899,428655,4933,6130
2021-04-03,302899,429238,4933,6150
