,Date,TX Confirm
0,2020-01-22,
1,2020-01-23,0.0
2,2020-01-24,0.0
3,2020-01-25,0.0
4,2020-01-26,0.0
5,2020-01-27,0.0
6,2020-01-28,0.0
7,2020-01-29,0.0
8,2020-01-30,0.0
9,2020-01-31,0.0
10,2020-02-01,0.0
11,2020-02-02,0.0
12,2020-02-03,0.0
13,2020-02-04,0.0
14,2020-02-05,0.0
15,2020-02-06,0.0
16,2020-02-07,0.0
17,2020-02-08,0.0
18,2020-02-09,0.0
19,2020-02-10,0.0
20,2020-02-11,0.0
21,2020-02-12,0.0
22,2020-02-13,0.0
23,2020-02-14,0.0
24,2020-02-15,0.0
25,2020-02-16,0.0
26,2020-02-17,0.0
27,2020-02-18,0.0
28,2020-02-19,0.0
29,2020-02-20,0.0
30,2020-02-21,0.0
31,2020-02-22,0.0
32,2020-02-23,0.0
33,2020-02-24,0.0
34,2020-02-25,0.0
35,2020-02-26,0.0
36,2020-02-27,0.0
37,2020-02-28,0.0
38,2020-02-29,0.0
39,2020-03-01,0.0
40,2020-03-02,0.0
41,2020-03-03,0.0
42,2020-03-04,0.0
43,2020-03-05,3.0
44,2020-03-06,1.0
45,2020-03-07,4.0
46,2020-03-08,3.0
47,2020-03-09,5.0
48,2020-03-10,5.0
49,2020-03-11,0.0
50,2020-03-12,2.0
51,2020-03-13,14.0
52,2020-03-14,14.0
53,2020-03-15,8.0
54,2020-03-16,1.0
55,2020-03-17,16.0
56,2020-03-18,31.0
57,2020-03-19,123.0
58,2020-03-20,74.0
59,2020-03-21,34.0
60,2020-03-22,27.0
61,2020-03-23,337.0
62,2020-03-24,192.0
63,2020-03-25,317.0
64,2020-03-26,365.0
65,2020-03-27,339.0
66,2020-03-28,310.0
67,2020-03-29,438.0
68,2020-03-30,422.0
69,2020-03-31,519.0
70,2020-04-01,664.0
71,2020-04-02,686.0
72,2020-04-03,750.0
73,2020-04-04,659.0
74,2020-04-05,644.0
75,2020-04-06,576.0
76,2020-04-07,1070.0
77,2020-04-08,1065.0
78,2020-04-09,845.0
79,2020-04-10,1469.0
80,2020-04-11,921.0
81,2020-04-12,778.0
82,2020-04-13,479.0
83,2020-04-14,410.0
84,2020-04-15,1296.0
85,2020-04-16,920.0
86,2020-04-17,922.0
87,2020-04-18,499.0
88,2020-04-19,842.0
89,2020-04-20,356.0
90,2020-04-21,737.0
91,2020-04-22,869.0
92,2020-04-23,880.0
93,2020-04-24,861.0
94,2020-04-25,966.0
95,2020-04-26,849.0
96,2020-04-27,659.0
97,2020-04-28,835.0
98,2020-04-29,862.0
99,2020-04-30,1018.0
100,2020-05-01,1121.0
101,2020-05-02,1282.0
102,2020-05-03,1000.0
103,2020-05-04,785.0
104,2020-05-05,1035.0
105,2020-05-06,1032.0
106,2020-05-07,1138.0
107,2020-05-08,1223.0
108,2020-05-09,1249.0
109,2020-05-10,986.0
110,2020-05-11,1000.0
111,2020-05-12,1173.0
112,2020-05-13,1337.0
113,2020-05-14,1425.0
114,2020-05-15,1336.0
115,2020-05-16,1798.0
116,2020-05-17,776.0
117,2020-05-18,890.0
118,2020-05-19,1194.0
119,2020-05-20,1264.0
120,2020-05-21,1045.0
121,2020-05-22,1327.0
122,2020-05-23,1059.0
123,2020-05-24,840.0
124,2020-05-25,623.0
125,2020-05-26,630.0
126,2020-05-27,1359.0
127,2020-05-28,1852.0
128,2020-05-29,1209.0
129,2020-05-30,1350.0
130,2020-05-31,1950.0
131,2020-06-01,592.0
132,2020-06-02,1683.0
133,2020-06-03,1674.0
134,2020-06-04,1614.0
135,2020-06-05,1690.0
136,2020-06-06,1936.0
137,2020-06-07,1424.0
138,2020-06-08,653.0
139,2020-06-09,1943.0
140,2020-06-10,2448.0
141,2020-06-11,1814.0
142,2020-06-12,2091.0
143,2020-06-13,2338.0
144,2020-06-14,1918.0
145,2020-06-15,1265.0
146,2020-06-16,3815.0
147,2020-06-17,3141.0
148,2020-06-18,3509.0
149,2020-06-19,3471.0
150,2020-06-20,4391.0
151,2020-06-21,3864.0
152,2020-06-22,3278.0
153,2020-06-23,5532.0
154,2020-06-24,5551.0
155,2020-06-25,5982.0
156,2020-06-26,5717.0
157,2020-06-27,5758.0
158,2020-06-28,5352.0
159,2020-06-29,4288.0
160,2020-06-30,6975.0
161,2020-07-01,8076.0
162,2020-07-02,7915.0
163,2020-07-03,7555.0
164,2020-07-04,8253.0
165,2020-07-05,3454.0
166,2020-07-06,5318.0
167,2020-07-07,10028.0
168,2020-07-08,9979.0
169,2020-07-09,9782.0
170,2020-07-10,9765.0
171,2020-07-11,10351.0
172,2020-07-12,8196.0
173,2020-07-13,5655.0
174,2020-07-14,10745.0
175,2020-07-15,11395.0
176,2020-07-16,15338.0
177,2020-07-17,10126.0
178,2020-07-18,10807.0
179,2020-07-19,8635.0
180,2020-07-20,5900.0
181,2020-07-21,10515.0
182,2020-07-22,9474.0
183,2020-07-23,9734.0
184,2020-07-24,8395.0
185,2020-07-25,6466.0
186,2020-07-26,5577.0
187,2020-07-27,4412.0
188,2020-07-28,9847.0
189,2020-07-29,8754.0
190,2020-07-30,9441.0
191,2020-07-31,8360.0
192,2020-08-01,9493.0
193,2020-08-02,0.0
194,2020-08-03,11305.0
195,2020-08-04,9267.0
196,2020-08-05,8964.0
197,2020-08-06,7688.0
198,2020-08-07,7185.0
199,2020-08-08,6964.0
200,2020-08-09,5008.0
201,2020-08-10,4463.0
202,2020-08-11,9910.0
203,2020-08-12,6357.0
204,2020-08-13,6827.0
205,2020-08-14,6928.0
206,2020-08-15,8318.0
207,2020-08-16,6140.0
208,2020-08-17,7935.0
209,2020-08-18,7380.0
210,2020-08-19,6938.0
211,2020-08-20,5494.0
212,2020-08-21,4940.0
213,2020-08-22,6073.0
214,2020-08-23,4078.0
215,2020-08-24,2872.0
216,2020-08-25,6397.0
217,2020-08-26,5445.0
218,2020-08-27,5694.0
219,2020-08-28,4150.0
220,2020-08-29,4733.0
221,2020-08-30,3761.0
222,2020-08-31,2550.0
223,2020-09-01,4568.0
224,2020-09-02,4385.0
225,2020-09-03,3646.0
226,2020-09-04,5456.0
227,2020-09-05,4542.0
228,2020-09-06,3123.0
229,2020-09-07,1853.0
230,2020-09-08,1614.0
231,2020-09-09,3990.0
232,2020-09-10,3989.0
233,2020-09-11,3614.0
234,2020-09-12,4254.0
235,2020-09-13,3504.0
236,2020-09-14,2612.0
237,2020-09-15,5338.0
238,2020-09-16,6084.0
239,2020-09-17,4065.0
240,2020-09-18,4481.0
241,2020-09-19,3882.0
242,2020-09-20,4901.0
243,2020-09-21,6771.0
244,2020-09-22,17945.0
245,2020-09-23,3382.0
246,2020-09-24,4392.0
247,2020-09-25,4703.0
248,2020-09-26,4801.0
249,2020-09-27,4475.0
250,2020-09-28,1740.0
251,2020-09-29,4480.0
252,2020-09-30,5448.0
253,2020-10-01,3429.0
254,2020-10-02,3601.0
255,2020-10-03,7069.0
256,2020-10-04,3264.0
257,2020-10-05,3047.0
258,2020-10-06,4265.0
259,2020-10-07,4218.0
260,2020-10-08,4248.0
261,2020-10-09,4121.0
262,2020-10-10,4185.0
263,2020-10-11,2508.0
264,2020-10-12,2586.0
265,2020-10-13,5419.0
266,2020-10-14,4689.0
267,2020-10-15,4884.0
268,2020-10-16,5903.0
269,2020-10-17,4930.0
270,2020-10-18,5782.0
271,2020-10-19,2560.0
272,2020-10-20,5112.0
273,2020-10-21,5391.0
274,2020-10-22,6355.0
275,2020-10-23,6579.0
276,2020-10-24,6538.0
277,2020-10-25,4294.0
278,2020-10-26,4508.0
279,2020-10-27,7167.0
280,2020-10-28,5788.0
281,2020-10-29,7055.0
282,2020-10-30,6770.0
283,2020-10-31,7312.0
284,2020-11-01,4310.0
285,2020-11-02,4285.0
286,2020-11-03,7724.0
287,2020-11-04,9592.0
288,2020-11-05,8670.0
289,2020-11-06,7628.0
290,2020-11-07,8117.0
291,2020-11-08,5809.0
292,2020-11-09,4193.0
293,2020-11-10,10943.0
294,2020-11-11,11071.0
295,2020-11-12,8757.0
296,2020-11-13,11274.0
297,2020-11-14,9928.0
298,2020-11-15,6008.0
299,2020-11-16,7156.0
300,2020-11-17,11684.0
301,2020-11-18,9055.0
302,2020-11-19,12718.0
303,2020-11-20,12493.0
304,2020-11-21,12534.0
305,2020-11-22,9466.0
306,2020-11-23,6887.0
307,2020-11-24,14723.0
308,2020-11-25,15726.0
309,2020-11-26,11761.0
310,2020-11-27,3447.0
311,2020-11-28,5668.0
312,2020-11-29,6346.0
313,2020-11-30,10411.0
314,2020-12-01,15537.0
315,2020-12-02,17630.0
316,2020-12-03,13960.0
317,2020-12-04,14646.0
318,2020-12-05,11475.0
319,2020-12-06,9194.0
320,2020-12-07,9089.0
321,2020-12-08,15656.0
322,2020-12-09,10858.0
323,2020-12-10,13260.0
324,2020-12-11,12011.0
325,2020-12-12,13789.0
326,2020-12-13,6636.0
327,2020-12-14,8917.0
328,2020-12-15,16251.0
329,2020-12-16,14337.0
330,2020-12-17,17635.0
331,2020-12-18,2542.0
332,2020-12-19,744.0
333,2020-12-20,1342.0
334,2020-12-21,184937.0
335,2020-12-22,21142.0
336,2020-12-23,43502.0
337,2020-12-24,15798.0
338,2020-12-25,-14521.0
339,2020-12-26,2624.0
340,2020-12-27,13462.0
341,2020-12-28,10429.0
342,2020-12-29,33697.0
343,2020-12-30,20687.0
344,2020-12-31,17370.0
345,2021-01-01,16321.0
346,2021-01-02,8435.0
347,2021-01-03,14585.0
348,2021-01-04,16996.0
349,2021-01-05,32762.0
350,2021-01-06,24035.0
351,2021-01-07,23651.0
352,2021-01-08,1079.0
353,2021-01-09,45824.0
354,2021-01-10,17522.0
355,2021-01-11,13325.0
356,2021-01-12,26649.0
357,2021-01-13,23610.0
358,2021-01-14,24973.0
359,2021-01-15,28245.0
360,2021-01-16,24561.0
361,2021-01-17,17299.0
362,2021-01-18,10627.0
363,2021-01-19,11860.0
364,2021-01-20,28430.0
365,2021-01-21,24161.0
366,2021-01-22,22258.0
367,2021-01-23,17032.0
368,2021-01-24,10303.0
369,2021-01-25,7954.0
370,2021-01-26,25122.0
371,2021-01-27,20155.0
372,2021-01-28,18663.0
373,2021-01-29,18564.0
374,2021-01-30,20256.0
375,2021-01-31,12715.0
376,2021-02-01,30721.0
377,2021-02-02,21931.0
378,2021-02-03,17372.0
379,2021-02-04,15131.0
380,2021-02-05,15357.0
381,2021-02-06,12852.0
382,2021-02-07,7628.0
383,2021-02-08,5987.0
384,2021-02-09,14652.0
385,2021-02-10,12372.0
386,2021-02-11,12216.0
387,2021-02-12,12370.0
388,2021-02-13,11359.0
389,2021-02-14,6253.0
390,2021-02-15,3883.0
391,2021-02-16,3927.0
392,2021-02-17,3752.0
393,2021-02-18,3065.0
394,2021-02-19,2889.0
395,2021-02-20,8754.0
396,2021-02-21,5717.0
397,2021-02-22,3091.0
398,2021-02-23,11802.0
399,2021-02-24,7551.0
400,2021-02-25,7443.0
401,2021-02-26,7976.0
402,2021-02-27,11042.0
403,2021-02-28,4021.0
404,2021-03-01,3285.0
405,2021-03-02,8684.0
406,2021-03-03,7716.0
407,2021-03-04,8162.0
408,2021-03-05,6872.0
409,2021-03-06,5356.0
410,2021-03-07,3442.0
411,2021-03-08,2169.0
412,2021-03-09,5228.0
413,2021-03-10,4833.0
414,2021-03-11,5020.0
415,2021-03-12,6301.0
416,2021-03-13,4849.0
417,2021-03-14,3529.0
418,2021-03-15,1890.0
419,2021-03-16,5096.0
420,2021-03-17,5104.0
421,2021-03-18,4467.0
422,2021-03-19,3673.0
423,2021-03-20,4051.0
424,2021-03-21,2526.0
425,2021-03-22,1818.0
426,2021-03-23,4488.0
427,2021-03-24,4410.0
428,2021-03-25,3232.0
429,2021-03-26,5520.0
430,2021-03-27,4176.0
431,2021-03-28,3839.0
432,2021-03-29,2161.0
433,2021-03-30,3672.0
434,2021-03-31,122.0
435,2021-04-01,7424.0
436,2021-04-02,3275.0
437,2021-04-03,1689.0
